,name,type,username,userid,friends,followers,contacts,verified,location,age,tweets,activity,reputation,url,tweets_collected,tokens,tweets_fi,tokens_fi,tweets_en,tokens_en,tweets_sv,tokens_sv,lat,lng,population,created,perc_fi,perc_sv,perc_en,perc_out_of_fi_tweets,perc_out_of_sv_tweets,perc_out_of_en_tweets,perc_out_of_all_tweets,updated_location,region,smaller_region,size_of_municipality,size_group
0,Juvan kunta,city,Juvankunta,76620120,65,139,204,False,Juva,4866,169,0.03,0.32,https://twitter.com/juvankunta,145,1416,135,1415,0,0,0,0,61.8972,27.8569,6548,2009,0.9310344827586208,0.0,0.0,0.0002372079048216,0.0,0.0,0.000230281181263,Juva,Northern and Eastern Finland,South Savo,5769.0,rural
1,"oulun kaupunki, oulu",city,oulunkaupunki,77176932,391,11181,11572,False,Oulu,4864,28871,5.94,0.03,https://twitter.com/oulunkaupunki,23800,268475,23102,260851,497,5952,4,51,65.0142,25.4719,200526,2009,0.970672268907563,0.0001680672268907,0.0208823529411764,0.040592422349553,0.0002222222222222,0.0255737367500257,0.0377978766486941,Oulu,Northern and Eastern Finland,North Ostrobothnia,211848.0,bigger_cities
2,tampereen kaupunki,city,Tamperekaupunki,86911266,243,20367,20610,False,Tampere,4826,54967,11.39,0.01,https://twitter.com/tamperekaupunki,32199,302862,30789,286825,1055,14112,7,44,61.4981,23.7608,225118,2009,0.956209820180751,0.0002173980558402,0.0327649927016367,0.0540992161596567,0.0003888888888888,0.0542863023566944,0.0511367155550967,Tampere,Western Finland,Pirkanmaa,249009.0,bigger_cities
3,raseborg-raasepori,city,Raseborg,108907444,244,1045,1289,False,Raseborg,4740,5702,1.2,0.19,https://twitter.com/raseborg,5075,65056,2616,30019,16,183,2373,34293,59.975,23.4361,28405,2010,0.5154679802955665,0.4675862068965517,0.0031527093596059,0.0045965620667661,0.1318333333333333,0.0008232993722342,0.0080598413442068,Raasepori,Helsinki-Uusimaa,Uusimaa,27306.0,smaller_cities
4,Rautalampi,city,rautalampi,117689464,46,220,266,False,Rautalampi,4710,791,0.17,0.17,https://twitter.com/rautalampi,767,5665,659,5609,1,4,0,0,62.6217,26.8333,3303,2010,0.8591916558018253,0.0,0.0013037809647979,0.0011579259946478,0.0,5.145621076463929e-05,0.0012181080415776,Rautalampi,Northern and Eastern Finland,North Savo,2964.0,rural
5,Alavuden kaupunki,city,CityofAlavus,120871541,5,189,194,False,Alavus,4701,7,0.0,0.03,https://twitter.com/CityofAlavus,6,105,6,105,0,0,0,0,62.5861,23.6194,12044,2010,1.0,0.0,0.0,1.0542573547628712e-05,0.0,0.0,9.528876466057349e-06,Alavus,Western Finland,South Ostrobothnia,11102.0,smaller_cities
6,Saarijärven kaupunki,city,saarijarvicity,124439843,0,131,131,False,Saarijärvi,4689,0,0.0,0.0,https://twitter.com/saarijarvicity?lang=fi,0,0,0,0,0,0,0,0,62.7056,25.2569,9915,2010,,,,0.0,0.0,0.0,0.0,Saarijärvi,Western Finland,Central Finland,8975.0,rural
7,turun kaupunki,city,Turkukaupunki,125972363,589,15652,16241,True,Turku,4684,27999,5.98,0.04,https://twitter.com/turkukaupunki,16200,198170,15277,183538,169,2128,575,12014,60.4517,22.27,187604,2010,0.9430246913580248,0.0354938271604938,0.010432098765432,0.0268431493478539,0.0319444444444444,0.008696099619224,0.0257279664583548,Turku,Southern Finland,Southwest Finland,197900.0,bigger_cities
8,kirkkonummi,city,Kirkkonummi,183188352,104,1189,1293,False,Kirkkonummi,4529,1526,0.34,0.08,https://twitter.com/kirkkonummi,1363,21383,871,12414,4,69,462,8807,60.1167,24.4167,38649,2010,0.6390315480557593,0.338958180484226,0.0029347028613352,0.0015304302599974,0.0256666666666666,0.0002058248430585,0.0021646431038726,Kirkkonummi,Helsinki-Uusimaa,Uusimaa,40722.0,smaller_cities
9,rauman kaupunki,city,raumafi,221713994,129,2411,2540,False,Rauma,4432,4276,0.96,0.05,https://twitter.com/raumafi,3896,42760,3768,42189,31,345,2,8,61.1167,21.5,39809,2010,0.9671457905544149,0.0005133470225872,0.0079568788501026,0.0066207361879108,0.0001111111111111,0.0015951425337038,0.0061874171186265,Rauma,Western Finland,Satakunta,38667.0,smaller_cities
