FID,kunta,vuosi,nimi,namn,name,til_vuosi,vaesto,vaesto_p,miehet,miehet_p,naiset,naiset_p,ika_0_14,ika_0_14p,ika_15_64,ika_15_64p,ika_65_,ika_65_p,geom
kunta_vaki2022.1,005,2023,Alajärvi,Alajärvi,Alajärvi,2022,9183,0.2,4636,50.5,4547,49.5,1517,16.5,4904,53.4,2762,30.1,"POLYGON ((366787.92400007433 7001300.582998411, 362458.797000109 6995675.228997898, 363260.7930000954 6987161.697998049, 357374.74200016126 6990194.168997132, 352599.11600023136 6984860.2019962305, 349403.0040002923 6985932.9889954645, 346951.9410003302 6973669.695994952, 354508.0040001854 6970011.823996754, 348733.1870002747 6959704.550995577, 343298.20400040667 6961570.194994021, 339046.7090005409 6963078.848992498, 323281.48600148177 6981415.651983124, 321987.07200160914 6984871.923981947, 322692.6630015667 6988079.051982387, 334329.4410008429 7002293.675989546, 335875.8890007561 6998150.952990417, 357452.6040001728 7005219.799997036, 366787.92400007433 7001300.582998411))"
kunta_vaki2022.2,009,2023,Alavieska,Alavieska,Alavieska,2022,2447,0,1293,52.8,1154,47.2,461,18.8,1340,54.8,646,26.4,"POLYGON ((382543.36400003015 7120022.975999397, 372645.9440000829 7116054.773998588, 370424.7410000945 7104339.037998386, 360962.9920002221 7121469.109996798, 367243.75800013787 7123247.232997871, 364294.4740001776 7127811.213997371, 368791.01000012516 7133254.304998036, 382543.36400003015 7120022.975999397))"
kunta_vaki2022.3,010,2023,Alavus,Alavo,Alavus,2022,11102,0.2,5647,50.9,5455,49.1,1792,16.1,5979,53.9,3331,30,"POLYGON ((343298.20400040667 6961570.194994021, 345569.2240003196 6942289.740994947, 336977.4730005499 6933246.543992226, 327654.94900094357 6924153.086987969, 319415.8200015115 6925258.906982346, 317245.3230016843 6922242.406980681, 310933.4660023815 6926894.947974282, 306963.8750030347 6939661.120968664, 310341.1310025951 6943643.055972581, 303353.3200037786 6953056.358962453, 305928.06600341375 6960568.843965651, 309502.37500286894 6961659.037970369, 318058.9150017799 6951716.891980051, 323132.8570013479 6951459.804984161, 329822.4450009549 6962332.911988143, 334489.89000071463 6960615.782990602, 339046.7090005409 6963078.848992498, 343298.20400040667 6961570.194994021))"
kunta_vaki2022.4,016,2023,Asikkala,Asikkala,Asikkala,2022,8014,0.1,3953,49.3,4061,50.7,1025,12.8,4197,52.4,2792,34.8,"POLYGON ((436139.67999999796 6798279.085000205, 435912.7559999985 6793343.376000201, 442401.76199999964 6788656.952000202, 439890.59799999866 6783966.518000201, 441856.21399999765 6780190.765000199, 438438.6339999987 6774760.005000198, 434407.8799999973 6774122.3110001935, 422536.6069999935 6776416.537000187, 421278.1989999937 6780454.098000185, 414239.98899999174 6775727.322000167, 407223.6079999886 6774944.921000141, 405156.3809999867 6776822.410000127, 406441.6699999882 6784737.811000137, 403543.8189999864 6790950.967000118, 411351.199999991 6791654.820000161, 415159.04499999207 6798601.617000176, 420573.81799999345 6797562.888000189, 422133.7769999949 6800320.791000193, 432732.94899999764 6804050.610000204, 436139.67999999796 6798279.085000205))"
kunta_vaki2022.5,018,2023,Askola,Askola,Askola,2022,4763,0.1,2412,50.6,2351,49.4,847,17.8,2881,60.5,1035,21.7,"POLYGON ((426631.03599999513 6720528.076000172, 432565.26599999773 6717622.634000172, 435455.8719999965 6713359.188000171, 435455.92699999834 6713359.107000172, 435459.17499999853 6713354.317000173, 435459.200999998 6713354.279000171, 435452.74399999704 6713352.60600017, 435452.7239999969 6713352.601000172, 431838.50799999724 6712416.556000168, 430607.0179999961 6707685.448000167, 429744.18199999514 6705662.097000168, 425989.81099999434 6708046.772000161, 423421.790999994 6704555.87800016, 420729.9699999924 6706689.307000157, 413795.1679999908 6706224.109000143, 413073.9629999908 6712770.878000142, 417853.34499999305 6714376.3120001545, 418695.89299999294 6716908.780000156, 422033.2029999949 6720617.096000164, 426630.90599999554 6720528.079000169, 426631.03599999513 6720528.076000172))"
kunta_vaki2022.6,019,2023,Aura,Aura,Aura,2022,3965,0.1,1954,49.3,2011,50.7,734,18.5,2350,59.3,881,22.2,"POLYGON ((263938.323010857 6730398.826900697, 260508.05601231506 6726673.941889385, 256331.77501445028 6725335.333873268, 255415.46501486222 6722817.532870097, 252771.27901648433 6723487.741858172, 254539.2860157249 6730559.131864059, 251038.06801801227 6731421.608847396, 250110.71701924398 6742255.94083904, 257539.79501413682 6733857.525875968, 263938.323010857 6730398.826900697))"
kunta_vaki2022.7,020,2023,Akaa,Ackas,Akaa,2022,16473,0.3,8278,50.3,8195,49.7,2583,15.7,9702,58.9,4188,25.4,"POLYGON ((328844.11700051546 6792661.710991561, 336519.80600029137 6787100.616994293, 334202.59200033615 6781268.48899367, 336054.7130002871 6777951.999994277, 324952.5590006099 6773513.091990272, 321366.4140007698 6775785.181988462, 319568.32700087555 6780771.708987342, 311334.63600142126 6784447.581981661, 314246.20100123796 6790569.478983614, 322242.16800077795 6791194.286988531, 325014.5380006676 6796004.594989808, 328844.11700051546 6792661.710991561))"
kunta_vaki2022.8,035,2023,Brändö,Brändö,Brändö,2022,450,0,239,53.1,211,46.9,38,8.4,257,57.1,155,34.4,"MULTIPOLYGON (((176190.44539334258 6711950.943092229, 174261.25810008112 6704343.986853732, 172402.0006111419 6705083.680493371, 171192.4793191204 6706433.132650217, 170422.77542532794 6708982.1056170855, 170262.82982747833 6710931.32240586, 170712.64172554947 6712430.722916613, 173411.54931025946 6714250.006300021, 176190.44539334258 6711950.943092229)), ((169503.1219338443 6713480.295472053, 167244.03324820963 6712570.6491946895, 166184.45335618558 6713610.226552301, 165124.86276584596 6716758.95740161, 164964.9224676264 6717658.595492356, 165104.85506817588 6719907.693489961, 166154.42626165645 6721417.093024932, 167953.70034960203 6722176.797089364, 169013.27874198376 6721437.09933, 170082.86363322276 6718588.248176486, 170092.8739314265 6715729.395685563, 169503.1219338443 6713480.295472053)), ((177436.58019045024 6719614.068109591, 176037.1605961849 6715875.561777354, 173738.08030958386 6716505.297404149, 172978.37991465878 6717554.872276731, 172358.6137201077 6720553.66544775, 172488.53692217462 6725511.676037561, 172638.46782229503 6727310.954537284, 173228.22661919065 6728210.596454263, 174287.80121281266 6728220.597688883, 175797.2066028028 6725971.508043012, 177816.4119899792 6722762.806112771, 177636.49728963693 6720133.860514176, 177436.58019045024 6719614.068109591)))"
kunta_vaki2022.9,043,2023,Eckerö,Eckerö,Eckerö,2022,939,0,495,52.7,444,47.3,127,13.5,541,57.6,271,28.9,"POLYGON ((92735.2754451562 6707382.8241089275, 92508.36553118064 6706547.452428423, 94993.500422918 6699371.508902092, 93475.0092955734 6693318.908910024, 92064.29649582913 6693387.957274361, 90854.77703979256 6694277.593980932, 89955.14106825291 6693677.829755093, 88915.57199360325 6690968.910841432, 86806.41886826651 6690808.963714011, 85746.83541432506 6692448.30051427, 85287.00974008185 6694397.516303724, 85277.00284972036 6696506.670263592, 86166.63452588819 6698755.772869237, 86316.56812550122 6699965.288571939, 84657.22909296775 6700854.922979512, 83747.5909314222 6701444.681613452, 84037.46612756979 6703104.017631578, 85236.9804846149 6704003.663118467, 87646.0094971828 6704923.306999482, 90344.91990508529 6706292.771903322, 92004.248152096 6707502.29553705, 92735.2754451562 6707382.8241089275))"
kunta_vaki2022.10,046,2023,Enonkoski,Enonkoski,Enonkoski,2022,1341,0,694,51.8,647,48.2,174,13,649,48.4,518,38.6,"POLYGON ((600317.4070000119 6904777.7460000925, 599646.1500000118 6902782.7180001, 599448.9960000104 6898234.8680001, 603609.099000013 6897827.623000048, 604925.5470000136 6893348.85200003, 609289.9890000127 6890028.443999947, 610975.5440000133 6886871.67799991, 609203.4610000128 6879377.262999951, 603624.5280000126 6875870.959000052, 598384.4830000129 6875848.885000115, 593633.5790000099 6877671.298000154, 590251.7820000097 6881394.932000174, 595996.0820000105 6882883.375000137, 592949.0000000105 6884760.44300016, 592005.9360000098 6888707.235000168, 586067.0090000065 6891079.968000197, 583254.7900000068 6891874.440000206, 585905.7950000064 6901046.6690002, 592041.8310000105 6899079.316000169, 590936.6480000084 6907357.790000174, 600317.4070000119 6904777.7460000925))"
