
sourcecode;sourcename;targetcode;targetname

"'020'";"Akaa";"'3'";"Western Finland"
"'005'";"Alajärvi";"'3'";"Western Finland"
"'009'";"Alavieska";"'4'";"Northern and Eastern Finland"
"'010'";"Alavus";"'3'";"Western Finland"
"'016'";"Asikkala";"'2'";"Southern Finland"
"'018'";"Askola";"'1'";"Helsinki-Uusimaa"
"'019'";"Aura";"'2'";"Southern Finland"
"'035'";"Brändö";"'5'";"Åland"
"'043'";"Eckerö";"'5'";"Åland"
"'046'";"Enonkoski";"'4'";"Northern and Eastern Finland"
"'047'";"Enontekiö";"'4'";"Northern and Eastern Finland"
"'049'";"Espoo";"'1'";"Helsinki-Uusimaa"
"'050'";"Eura";"'3'";"Western Finland"
"'051'";"Eurajoki";"'3'";"Western Finland"
"'052'";"Evijärvi";"'3'";"Western Finland"
"'060'";"Finström";"'5'";"Åland"
"'061'";"Forssa";"'2'";"Southern Finland"
"'062'";"Föglö";"'5'";"Åland"
"'065'";"Geta";"'5'";"Åland"
"'069'";"Haapajärvi";"'4'";"Northern and Eastern Finland"
"'071'";"Haapavesi";"'4'";"Northern and Eastern Finland"
"'072'";"Hailuoto";"'4'";"Northern and Eastern Finland"
"'074'";"Halsua";"'4'";"Northern and Eastern Finland"
"'075'";"Hamina";"'2'";"Southern Finland"
"'076'";"Hammarland";"'5'";"Åland"
"'077'";"Hankasalmi";"'3'";"Western Finland"
"'078'";"Hanko";"'1'";"Helsinki-Uusimaa"
"'079'";"Harjavalta";"'3'";"Western Finland"
"'081'";"Hartola";"'2'";"Southern Finland"
"'082'";"Hattula";"'2'";"Southern Finland"
"'086'";"Hausjärvi";"'2'";"Southern Finland"
"'111'";"Heinola";"'2'";"Southern Finland"
"'090'";"Heinävesi";"'4'";"Northern and Eastern Finland"
"'091'";"Helsinki";"'1'";"Helsinki-Uusimaa"
"'097'";"Hirvensalmi";"'4'";"Northern and Eastern Finland"
"'098'";"Hollola";"'2'";"Southern Finland"
"'102'";"Huittinen";"'3'";"Western Finland"
"'103'";"Humppila";"'2'";"Southern Finland"
"'105'";"Hyrynsalmi";"'4'";"Northern and Eastern Finland"
"'106'";"Hyvinkää";"'1'";"Helsinki-Uusimaa"
"'108'";"Hämeenkyrö";"'3'";"Western Finland"
"'109'";"Hämeenlinna";"'2'";"Southern Finland"
"'139'";"Ii";"'4'";"Northern and Eastern Finland"
"'140'";"Iisalmi";"'4'";"Northern and Eastern Finland"
"'142'";"Iitti";"'2'";"Southern Finland"
"'143'";"Ikaalinen";"'3'";"Western Finland"
"'145'";"Ilmajoki";"'3'";"Western Finland"
"'146'";"Ilomantsi";"'4'";"Northern and Eastern Finland"
"'153'";"Imatra";"'2'";"Southern Finland"
"'148'";"Inari";"'4'";"Northern and Eastern Finland"
"'149'";"Ingå";"'1'";"Helsinki-Uusimaa"
"'151'";"Isojoki";"'3'";"Western Finland"
"'152'";"Isokyrö";"'3'";"Western Finland"
